가게명,판매업종,배달소요시간,평점,리뷰수,배달기준금액,배달비
신라강호-마라전문점,7,25,4.8,22,15000,4400
정셰프의쌀짬뽕-도봉산역점,7,19,5.0,5,15000,3900
청도양꼬치1호점,7,17,0.0,0,15000,3400
미성양꼬치&마라탕,7,22,4.3,10,26000,3400
마라킹너희들나못이겨-수유점,7,23,4.2,5,9000,6400
마라탕마라샹궈노원훠궈무한리필,7,51,3.5,4,15000,4000
8월의중식-노원점,7,50,4.7,247,9500,5400
마라유혹중경식객,7,28,4.9,433,15000,6400
수상한탕수육-방학점,7,53,4.1,13,15000,4000
도봉산팔뚝집,7,18,0.0,0,15000,3900
짬뽕선생,7,51,3.6,208,10000,25000
램반장-노원점,7,53,5.0,13,12000,4500
링링중화요리,7,20,0.0,0,15000,4400
채월루-마라탕전문점,7,18,0.0,0,12000,3900
국밥생각-상계점,8,62,4.9,350,14000,2000
고기혁명-노원점,8,50,5.0,270,14900,2500
삼겹이차돌이,8,60,5.0,755,10000,2500
연평도간장게장-방학점,8,50,0.0,0,12000,5500
찌개덕후-본점,8,51,4.9,333,9900,3500
프리미엄김치찌개찌개왕-쌍문점,8,52,4.9,486,6000,4500
정음지음-김치요리전문점,8,60,4.8,544,16000,2500
30년불멸의닭발-쌍문점,8,36,4.9,41,9000,900
옥수동묵은지김치찜-노원점,8,55,5.0,1553,8000,4000
시카고부대찌개-노원점,8,60,5.0,97,14000,2000
냉면&불타오르냉-노원점,8,60,5.0,49,14000,2000
미미국물닭발-노원점,8,43,5.0,5,10000,3000
육회만드는사람들-노원점,8,60,4.9,47,20000,2000
세븐한식&분식천국,8,54,4.7,847,13000,3000
신의주찹쌀순대-도봉구청점,8,45,4.8,158,8000,5000
산적육회-노원상계점,8,60,5.0,4,20000,2000
봉이네찜닭&닭도리탕-도봉노원점,8,60,4.5,124,19000,3000
라와마라탕-2호점,8,57,5.0,644,15000,3000
죽사랑-창동점,8,60,3.3,173,15000,2000
와우곱창막창,8,63,4.4,807,18000,2000
집밥뚝딱-쌍문점,8,53,4.8,5,3000,5000
큰맘할매순대국-먹골역점,8,50,4.7,871,16000,11000
"곱,끌림delivery-도봉점",8,50,4.7,14,24900,3000
금강산감자탕,8,53,5.0,21,9000,5000
알밥왕-창동점,8,50,4.8,205,8000,4500
미아닭발,8,50,4.0,4,14000,3000
긴말하지않겠다냉면-창동점,8,60,4.6,126,10000,4500
야수곱창,8,53,4.8,17,24000,5000
오늘은스파게티&치즈밥-노원구점,8,50,4.8,69,13000,3500
청춘불닭발-강북점,8,50,4.8,86,17000,5900
통영해물탕,8,55,2.9,34,15000,2000
LA교룡갈비찜닭,8,60,4.2,27,15000,2000
이쿠라멘&돈카츠-도봉점,8,50,4.7,30,12000,5500
레게노돈삼닭,8,53,4.3,3,12000,8400
연평도간장게장-방학점,8,50,0.0,0,12000,5500
제육천재-도봉점,8,21,4.9,1485,9900,2400
열정국밥-방학점,8,53,5.0,946,10000,3500
청춘불닭발-노원본점,8,53,4.8,2696,15000,3000
밥이야-본점,8,20,4.8,3187,14000,2400
골목삼겹-노원점,8,53,5.0,442,9000,2500
밥깨비-노원점,8,53,4.9,1039,12000,2000
제육대가-노원구점,8,53,5.0,341,10000,1900
뜸들이다-창동점,8,17,4.9,1672,8700,2400
돌깨마을맷돌순두부-노원점,8,19,4.8,2195,8000,3400
싸움의고수-은행사거리점,8,21,4.9,425,7500,3400
수락이오냉면-본점,8,17,4.8,1277,12000,2900
행컵-노원점,8,49,4.8,1522,14000,2500
공릉동닭한마리-쌍문점,8,15,4.9,591,20000,2400
곱볶당,8,23,4.9,837,16000,1900
털보고된이생선구이-노원직영점,8,53,4.8,177,16500,2500
곱분이곱창-방학역점,8,53,4.9,332,18000,3000
채선당도시락&샐러드-마들점,8,18,4.8,562,15000,2900
직화삼겹직구삼-노원1호점,8,53,4.9,1789,12000,900
마마쿡수제반찬(노원점),8,16,4.9,26,23000,2900
N도시락,8,55,4.9,328,10000,3500
도쿄감자탕-본점,8,53,4.8,712,2000,2000
청춘묵은지김치찜-창동점,8,53,4.9,542,10000,3500
설담재-창동본점,8,19,4.8,758,15000,3400
추가불곱창막창,8,49,4.9,596,16000,1000
고기듬뿍대왕비빔밥-서울노원점,8,21,5.0,920,19000,2900
이어도생선구이-수락산점,8,19,4.7,923,18000,2900
김인경제육집,8,15,4.8,984,10000,2900
아이엠찌개,8,53,4.9,313,12000,2500
대머리곱창,8,20,4.8,657,18000,2900
辛닭발닭날개,8,53,4.8,3218,15000,3400
따스한곱창-방학역점,8,53,4.9,130,13900,1000
연안식당-창동점,8,22,4.7,301,13000,3400
낙지한마리수제비-노원점,8,20,4.6,46,18000,2900
장수봉평메밀촌,8,16,4.8,188,14000,2900
곤지암할매소머리국밥-도봉구청점,8,53,4.7,80,8000,3000
찜닭&닭도리달인-상계점,8,53,4.9,198,12000,3000
대성한우곱창-방학점,8,19,4.7,161,7900,2900
명륜진사갈비-수락산점,8,53,4.8,62,13000,2500
엄마손돼지불백-상계역점,8,53,4.9,355,13000,2500
홍춘천치즈닭갈비-마들역점,8,49,4.8,339,15000,2000
신화쭈꾸미-상계점,8,49,4.9,580,23000,1500
닭발세상,8,53,4.8,381,16000,2000
채랑샤브-본점,8,15,5.0,722,24000,2900
우이동멸치국수-노원점,8,17,4.8,172,14000,3400
윤가네묵은지김치찜,8,53,4.9,174,20000,1000
차고집칡냉면&수제돈까스,8,18,4.9,1746,12000,2900
30년불멸의닭발-쌍문점,8,49,4.9,41,9000,900
육회한덮밥,8,60,4.8,4722,14000,2000
옥수동묵은지김치찜-노원점,8,49,5.0,1553,8000,4000
삼겹의민족-방학점,8,53,5.0,86,9900,3100
배달의쌀국수-상계점,8,53,4.9,902,5000,2000
푸곱앤혼곱,8,15,5.0,515,7000,3400
국민낙곱새-창동점,8,10,5.0,170,18000,2900
영양센타-노원역점,8,19,4.8,883,17500,3400
명동칼국수-상계백병원점,8,21,4.6,526,12500,3900
땅스부대찌개-상계점,8,16,4.9,117,13900,1400
고기극찬-노원점,8,53,4.9,64,16800,2500
본도시락-수락산역점,8,53,4.8,32,15000,2500
권사부순대국-창동점,8,53,4.9,1206,14000,3500
지랄닭발-노원점,8,53,4.9,103,15000,2500
대한민죽-창동점,8,53,4.4,54,8400,2000
감동식당,8,16,4.9,203,20000,2900
남촌-노원본점,8,21,4.8,663,8000,3900
화로몽-창동역점,8,21,4.8,155,14000,2400
원조멸치국수-마들점,8,17,4.5,54,13000,2900
국민닭발-노원점,8,49,4.8,212,17000,3000
두마리찜닭두찜-노원하계점,8,49,5.0,2807,12000,5000
냉면쟁이고기꾼-창동점,8,53,4.9,1525,14000,3500
삼형제아바이순대국.감자탕,8,25,4.8,1862,11000,5400
광릉불고기&숯불고기냉면전문점,8,17,4.7,90,20000,2900
노원왕십리곱창,8,16,4.6,334,18000,2900
순수덮밥-도봉점,8,15,4.8,52,10000,2900
방학손칼국수,8,14,4.9,70,14000,2900
신촌갈비국밥,8,21,4.9,929,12000,6400
아부찌부대찌개-창동점,8,15,5.0,244,13900,2900
1인용묵은지김치찜-쌍문점,8,49,4.9,58,21900,2000
THE더가득담은1인김치찜-노원점,8,24,4.9,1116,8000,6400
맛있는곱창-본점,8,53,4.9,479,22000,3000
신의주찹쌀순대-중계브라운스톤점,8,22,4.8,350,13000,5400
동대문엽기떡볶이-노원점,8,49,4.8,293,14000,3000
술술국밥,8,23,4.9,119,12000,3700
예림해물손칼국수,8,17,4.6,130,15000,3400
타코이찌타꼬야끼-노원전문점,9,60,4.8,213,14000,2000
세븐한식&분식천국,9,55,4.7,847,13000,3000
웰돈카츠-상계점,9,50,5.0,11,14000,3000
연평도간장게장-방학점,9,50,0.0,0,12000,5500
이쿠라멘&돈카츠-도봉점,9,50,4.7,30,12000,5500
천복스시,9,60,5.0,7,12000,3500
육회만드는사람들-노원점,9,67,4.9,47,20000,2000
아라연대게-의정부점,9,53,2.0,1,30000,10000
레게노돈삼닭,9,53,4.3,3,12000,8400
연평도간장게장-방학점,9,50,0.0,0,12000,5500
잼재미초밥,9,19,4.9,4736,16000,1500
육회한덮밥,9,60,4.8,4722,14000,2000
육회한연어-노원점,9,54,4.7,2072,14000,2000
동경규동-노원역점,9,19,4.9,771,13000,2900
멘부리-노원점,9,18,5.0,174,8000,2000
두툼바삭가츠-상계점,9,48,4.9,2952,14000,2000
아비꼬-노원역점,9,16,5.0,180,12000,2900
돈카춘돈까스&카레-노원점,9,20,5.0,212,10000,2900
수시로스시,9,18,4.9,2131,15000,1000
야미가-상계점,9,54,4.9,153,13000,2000
탐나종합어시장-방학역점,9,54,4.9,879,20000,3000
최고당돈가스-쌍문역점,9,22,4.9,676,10000,3900
아오리라멘-노원점,9,54,4.8,365,12000,2500
무겐다이,9,18,4.9,370,10000,2900
쿠마키친-수락산점,9,19,4.8,224,13000,2900
어장촌생선구이,9,54,4.9,318,18000,2000
육회연어랑스시,9,49,4.8,938,14000,2500
멘야마쯔리딜리버리라멘-중계점,9,19,4.9,175,12000,3400
삿포로돈까스앤스파게티,9,28,4.7,5632,12000,6400
스시데마에,9,54,5.0,336,15500,1000
멘부리-수유점,9,24,5.0,717,9000,5000
스시화-도봉점,9,51,4.9,849,16000,3500
다미참치,9,54,4.9,609,27000,2500
육회란연어다-공릉묵동점,9,54,4.9,1081,14000,3500
스시소리,9,25,4.9,146,16000,2400
미소야-창동점,9,21,4.7,186,15000,3400
현스키친,9,23,5.0,957,9500,3900
해신횟집-상계점,9,54,4.9,273,20000,3000
혜화동돈까스극장-서울상계점,9,54,4.7,760,13900,3000
늘해돈,9,16,4.7,64,14500,2900
롤앤폭돈까스,9,54,4.9,120,9000,4000
돈카츠전문점100카츠-상계1호점,9,17,4.9,61,16000,2900
주식이돈까스&탕수육,9,21,4.9,279,9000,3000
문지원의열정스시,9,20,4.8,202,16000,2900
삼정종합어시장-상계점,9,23,4.9,1587,25000,3900
셰프의돈까스,9,51,4.5,860,15000,2500
신군산횟집,9,54,4.7,7,20000,3000
가람참치&스시,9,54,4.9,231,23000,2000
육회촌연어리,9,25,5.0,964,9900,5500
스시고칸-중계점,9,20,4.9,509,12000,4400
미스터빠삭-상계점,9,54,4.9,1418,13000,3500
선진팜-쌍문점,9,21,4.9,484,15000,3400
주니초밥,9,18,4.9,909,16000,2900
나승준함흥냉면&코다리냉면,9,14,4.8,522,14000,3400
우애돈카츠-상계점,9,54,4.9,1182,10000,3000
돈카츠브라더스,9,54,4.9,210,12000,1000
혼돈혼자먹는돈까스-본점,9,54,4.9,78,15000,4000
밀알생돈까스,9,18,4.6,270,15000,3900
밥깨비-노원점,9,53,4.9,1039,12000,2000
열심참치,9,54,5.0,527,18000,3500
스쿨푸드-노원점,9,52,4.8,678,15000,2500
수락이오냉면-본점,9,17,4.8,1277,12000,2900
사누끼-본점,9,17,4.8,51,15000,3400
쉐프마인드,9,17,4.9,231,11000,3400
스시황초밥전문-창동본점,9,18,4.9,84,13000,3400
스시웨이-노원점,9,54,4.8,148,20000,2500
방학동우동,9,54,4.9,180,12000,4000
유메스시-도봉점,9,54,5.0,193,12000,2000
노원스시호,9,20,4.9,1787,15000,2000
청년어부초밥-수유점,9,23,4.6,19,15000,5400
현덕육회-노원점,9,53,4.9,25,8900,3500
고치소돈카츠,9,18,5.0,7,10000,2900
육회왕자연어공주-방학점,9,54,4.8,74,9900,3000
